date;var;cvar
2013-04-12;-0.008874836335339453;-0.013553007024465257
2013-04-15;-0.008866184498288474;-0.013648146109328758
2013-04-16;-0.009003822677879633;-0.013726439678618904
2013-04-17;-0.008964609165555868;-0.013552188618405394
2013-04-18;-0.009100456861844545;-0.01383426980340592
2013-04-19;-0.008999212969286382;-0.013634677823734913
2013-04-22;-0.00901012610281919;-0.013842923919134022
2013-04-23;-0.008889058586179966;-0.013587524501342563
2013-04-24;-0.00894254932898719;-0.013718084299629113
2013-04-25;-0.008833361565135478;-0.013552057382029034
2013-04-26;-0.008972018460787445;-0.013854947715384768
2013-04-29;-0.008918814213499101;-0.013883689455080667
2013-04-30;-0.008796985542073003;-0.01344294378553378
2013-05-02;-0.00861285452470914;-0.013081563086010243
2013-05-03;-0.00852561025387227;-0.013104717588976088
2013-05-06;-0.008397787782411334;-0.012957167523794662
2013-05-07;-0.008331470013694895;-0.012889496002324023
2013-05-08;-0.0083790384461614;-0.012963711277188483
2013-05-10;-0.00822446433925454;-0.012629085539147315
2013-05-13;-0.008196522365822514;-0.012676334451184454
2013-05-14;-0.00789752096909385;-0.012256658989532484
2013-05-15;-0.007860254249680808;-0.012295301846533938
2013-05-16;-0.007885043275344093;-0.01229250128985224
2013-05-17;-0.007918966687680282;-0.01228665780666799
2013-05-20;-0.007550759328826203;-0.01181325891045502
2013-05-21;-0.007553421627949848;-0.011773534644827222
2013-05-22;-0.007581297915250774;-0.011921775328148827
2013-05-23;-0.007649805067980034;-0.01187208671327079
2013-05-24;-0.00795512445469909;-0.01271432279514893
2013-05-27;-0.007912419574092664;-0.01235128972301102
2013-05-28;-0.007871803953834473;-0.012384877662260253
2013-05-29;-0.007853852340034686;-0.012210522638276964
2013-05-30;-0.007925568546179384;-0.01217687794638038
2013-05-31;-0.007967884805516261;-0.012349210314569585
2013-06-03;-0.007914773819683233;-0.012227208558506598
2013-06-04;-0.007849752968566945;-0.012052614205196304
2013-06-05;-0.007958441220932328;-0.012482818484821759
2013-06-06;-0.007828702456732395;-0.012081217470466681
2013-06-07;-0.007953344402979715;-0.012237094716432357
2013-06-10;-0.007921228905304122;-0.012115774050327478
2013-06-11;-0.007959981508595854;-0.012226794782447117
2013-06-13;-0.008281018960161481;-0.012792051639076938
2013-06-14;-0.008255842542447565;-0.012479974194669882
2013-06-17;-0.008349376667803946;-0.012808659671685745
2013-06-18;-0.008271154617865085;-0.012613102448103673
2013-06-19;-0.008675176695510172;-0.014000535610567851
2013-06-20;-0.0083107106929046;-0.012864944613363311
2013-06-21;-0.00848280241466261;-0.012893216926169324
2013-06-24;-0.0083593396894999;-0.012827851346558002
2013-06-25;-0.008362735242978238;-0.012845631294193261
2013-06-26;-0.008181079900255194;-0.01264646233399341
2013-06-27;-0.008214630017915002;-0.012633468397549943
2013-06-28;-0.008200232097129256;-0.012717597493281075
2013-07-01;-0.00814707845874596;-0.012559956432872024
2013-07-02;-0.00805782011806134;-0.012458806990195446
2013-07-03;-0.008115156505986447;-0.012495704407512444
2013-07-04;-0.008126743777449251;-0.012576042789968206
2013-07-05;-0.00811335164295717;-0.012500352642255907
2013-07-08;-0.00805402619398081;-0.012452265005243783
2013-07-09;-0.007853993386106681;-0.01215341733353487
2013-07-10;-0.007919824388776144;-0.012330667827766704
2013-07-11;-0.007954459861705801;-0.012459118221955463
2013-07-12;-0.007830481790325453;-0.012235349714359066
2013-07-15;-0.007824415901491417;-0.012380497756002497
2013-07-16;-0.007742302015837262;-0.012000569808707624
2013-07-17;-0.007734195803405629;-0.012107893711360134
2013-07-18;-0.007883432828807983;-0.012406989322899842
2013-07-19;-0.00780217806713862;-0.012211921974395742
2013-07-22;-0.00784280957526356;-0.012239097366212905
2013-07-23;-0.007691289660237243;-0.012136426004631884
2013-07-24;-0.007496155624278632;-0.011812400850148824
2013-07-25;-0.0074172321637353935;-0.011759188068237794
2013-07-26;-0.007467900847179611;-0.011746514083452397
2013-07-29;-0.0075262114776728384;-0.01194500300087753
2013-07-30;-0.007485451140439818;-0.01180088047307553
2013-07-31;-0.007411942155584937;-0.011713745302677735
2013-08-01;-0.0073718869182625695;-0.011623116697136275
2013-08-02;-0.007344628162865531;-0.011588938472972272
2013-08-05;-0.007264355949973402;-0.011400000151414152
2013-08-06;-0.007447106509582218;-0.011830174049390758
2013-08-07;-0.0075031376874641256;-0.011789328304604905
2013-08-08;-0.007439480454639259;-0.011640787968041771
2013-08-09;-0.00760445919971705;-0.012346287206785466
2013-08-12;-0.0073430086662112206;-0.011527929860691979
2013-08-13;-0.007348035346382587;-0.011595973661868066
2013-08-14;-0.007230759193553828;-0.011408850599809495
2013-08-15;-0.00725991027474053;-0.011398933896923395
2013-08-16;-0.007315539177042851;-0.011530370131846115
2013-08-19;-0.007446261205118172;-0.011690380942828168
2013-08-20;-0.007467408842692058;-0.011848481697481279
2013-08-21;-0.007413654190318732;-0.011746682471448158
2013-08-22;-0.007364475710377034;-0.011552474442870074
2013-08-23;-0.007349237900140516;-0.011688755967893937
2013-08-26;-0.007331147726301419;-0.01159970494969062
2013-08-27;-0.007305920403865836;-0.011531358689671586
2013-08-28;-0.007454661443950516;-0.011760102221850515
2013-08-29;-0.007525704369898543;-0.011918913512451997
2013-08-30;-0.007364268533861849;-0.011624339889954417
2013-09-02;-0.007423039458788078;-0.011782820506355315
2013-09-03;-0.007356789362127451;-0.011641464843938732
2013-09-04;-0.007425089267543677;-0.011715995726286439
2013-09-05;-0.0073798430128871485;-0.011691601923323226
2013-09-06;-0.007348820036265561;-0.011674093510564006
2013-09-09;-0.007404087654334126;-0.011931569530890078
2013-09-10;-0.007450429863544222;-0.011844638621760044
2013-09-11;-0.0073927793454148984;-0.011777487639161255
2013-09-12;-0.007472237475855858;-0.01172704753170924
2013-09-13;-0.007554776012328703;-0.01196211192660986
2013-09-16;-0.007660984010772122;-0.01198634613180849
2013-09-17;-0.007690247015676252;-0.012067866233515606
2013-09-18;-0.007596889046876964;-0.01191344252190511
2013-09-19;-0.007493950000388868;-0.011776752006440312
2013-09-20;-0.007289131708166483;-0.011583252464523687
2013-09-23;-0.007184528688937757;-0.011449446862751251
2013-09-24;-0.00718107051977229;-0.011434012793040287
2013-09-25;-0.007076678492171561;-0.011362316763915112
2013-09-26;-0.006946333971544409;-0.011137512394602447
2013-09-27;-0.006733904790359545;-0.010895884751087603
2013-09-30;-0.006695712164346777;-0.010820782285801299
2013-10-01;-0.0066860666572234415;-0.010859572788543501
2013-10-02;-0.006679981442534899;-0.010858584291324035
2013-10-03;-0.006649776952613782;-0.01069073851382648
2013-10-04;-0.006622621741378181;-0.010687032591347893
2013-10-07;-0.00656924262037418;-0.010729549132094104
2013-10-08;-0.006558169820692413;-0.01057725560319382
2013-10-09;-0.006530959301108078;-0.010647996391254671
2013-10-10;-0.006433031602043111;-0.010445468290023834
2013-10-11;-0.0063274356073165965;-0.010416582088575557
2013-10-14;-0.006305298366543311;-0.01027011410259902
2013-10-15;-0.006254896126998892;-0.010235225206933204
2013-10-16;-0.006224692399095678;-0.01027112445516664
2013-10-17;-0.006239986589841277;-0.010285346215683947
2013-10-18;-0.006356171538788978;-0.010419369447744105
2013-10-21;-0.006300843428160757;-0.0103429635140357
2013-10-22;-0.006404548885060366;-0.01050174124738713
2013-10-23;-0.006476348198089963;-0.010764439049003543
2013-10-24;-0.006376613097210973;-0.010394037442754415
2013-10-25;-0.006383729283030491;-0.010449671781511943
2013-10-28;-0.0064077494750018555;-0.01040152826132588
2013-10-29;-0.006359218444760436;-0.01042447994415573
2013-10-30;-0.006300543549637198;-0.010350888489978928
2013-10-31;-0.006257378642693044;-0.01030958020421123
2013-11-01;-0.00627368330764499;-0.010313552456275228
2013-11-05;-0.006333878008231841;-0.01055266219639877
2013-11-06;-0.00642062935408391;-0.010610196590050941
2013-11-07;-0.0064109548899831765;-0.010416511906091549
2013-11-08;-0.006332322204886304;-0.010358325707815075
2013-11-11;-0.006389676746060963;-0.010484849244478192
2013-11-12;-0.006390721398676305;-0.010458747674777674
2013-11-13;-0.0063717188995435796;-0.010430315518878528
2013-11-14;-0.006398149835423918;-0.010543586411479764
2013-11-15;-0.006340155373809376;-0.010487018892987456
2013-11-18;-0.006391155793241448;-0.010515000028965969
2013-11-19;-0.0063685056803411315;-0.010451767070846975
2013-11-20;-0.006386186331356581;-0.01051157167537689
2013-11-21;-0.0063717228703032164;-0.010477227250063285
2013-11-22;-0.00646853631261076;-0.010703282909608449
2013-11-25;-0.00642849550450846;-0.010547979506393301
2013-11-26;-0.0064305409417538435;-0.010477457882016686
2013-11-27;-0.006489500197502337;-0.010648294410098747
2013-11-28;-0.006524202618584901;-0.01068048751138942
2013-11-29;-0.0063956584125834616;-0.010487708085570811
2013-12-02;-0.00644104829188601;-0.010579641863369352
2013-12-03;-0.006553603005639391;-0.010693142785668023
2013-12-04;-0.006717395593849844;-0.010942221536612222
2013-12-05;-0.00677927438443744;-0.011012805195640801
2013-12-06;-0.006875040142287832;-0.011134687400659458
2013-12-09;-0.0069484878258504815;-0.011363994311164492
2013-12-10;-0.006986323934835309;-0.011407704936156091
2013-12-11;-0.0070729950378920076;-0.011479422740534597
