Date;AAPL;BA;JNJ;JPM;PG;XOM
2014-03-20;16.481691360473633;106.34494018554688;67.55486297607422;43.5750617980957;55.866451263427734;57.405487060546875
2014-03-21;16.611675262451172;105.35652923583984;68.8540267944336;43.618553161621094;55.552589416503906;57.241607666015625
2014-03-24;16.808698654174805;106.07849884033203;68.3300552368164;44.27098083496094;56.565521240234375;57.44188690185547
2014-03-25;16.9895076751709;106.59417724609375;69.89476776123047;44.169490814208984;56.92927551269531;57.60575866699219
2014-03-26;16.827089309692383;106.17304992675781;69.65789794921875;43.422813415527344;56.70814895629883;57.47831726074219
2014-03-27;16.754762649536133;105.89798736572266;69.82295989990234;43.43732833862305;56.81516647338867;58.41303634643555
2014-03-28;16.736061096191406;106.97235107421875;69.93781280517578;43.52431106567383;56.89363479614258;59.29918670654297
2014-03-31;16.732324600219727;107.85762786865234;70.50482940673828;44.010005950927734;57.49281692504883;59.287044525146484
2014-04-01;16.88538932800293;110.1954574584961;70.29669189453125;43.98101043701172;57.30735397338867;59.31736755371094
2014-04-02;16.913442611694336;110.28140258789062;70.50482940673828;44.1196174621582;57.15754699707031;59.450904846191406
2014-04-03;16.796228408813477;110.68537902832031;70.5263671875;44.25091552734375;57.13614273071289;59.438777923583984
2014-04-04;16.57894515991211;109.4820785522461;70.64118957519531;43.63086700439453;56.90074157714844;59.09281539916992
2014-04-07;16.31864356994629;107.9435806274414;70.26079559326172;43.039974212646484;57.41434860229492;58.74076461791992
2014-04-08;16.317712783813477;106.70591735839844;70.38282012939453;42.9305305480957;58.02777862548828;59.14744186401367
2014-04-09;16.532182693481445;109.05233764648438;71.02162170410156;43.23693084716797;58.12766647338867;59.0745964050293
2014-04-10;16.318950653076172;106.26758575439453;69.29183197021484;41.87278747558594;57.84231185913086;58.74076461791992
2014-04-11;16.19831085205078;104.9181900024414;69.52867126464844;40.34086227416992;57.60694122314453;58.70436477661133
2014-04-14;16.262840270996094;105.9323501586914;69.72248840332031;40.09281921386719;57.64259719848633;59.39626693725586
2014-04-15;16.14686393737793;106.8090591430664;71.20105743408203;39.976097106933594;57.664005279541016;59.89400100708008
2014-04-16;16.17960548400879;108.33036041259766;70.87808227539062;40.311676025390625;58.241764068603516;60.65874099731445
2014-04-17;16.36446762084961;109.94621276855469;71.02880859375;40.28247833251953;58.32024002075195;60.9500732421875
2014-04-21;16.558687210083008;109.86026763916016;71.77525329589844;40.143890380859375;58.17759323120117;61.259639739990234
2014-04-22;16.57520866394043;109.62818145751953;71.90442657470703;40.71289825439453;57.95642852783203;60.91973114013672
2014-04-23;16.358545303344727;112.27542877197266;71.93314361572266;40.887962341308594;57.77959060668945;60.998619079589844
2014-04-24;17.699649810791016;111.61363220214844;71.74653625488281;40.990089416503906;58.347591400146484;60.701210021972656
2014-04-25;17.829647064208984;110.5822525024414;71.6245346069336;40.63264846801758;58.53456115722656;60.944026947021484
2014-04-28;18.520156860351562;109.1898422241211;72.73702239990234;40.47944641113281;59.63462829589844;61.405303955078125
2014-04-29;18.46528434753418;110.33296966552734;72.51454162597656;40.924442291259766;59.27513122558594;61.57524108886719
2014-04-30;18.395444869995117;110.89163970947266;72.7011489868164;40.83690643310547;59.354209899902344;62.157928466796875
2014-05-01;18.438785552978516;110.41033172607422;72.1556625366211;40.64723587036133;59.203216552734375;61.55097198486328
2014-05-02;18.473081588745117;111.68236541748047;71.28002166748047;40.54513168334961;58.90123748779297;61.9151611328125
2014-05-05;18.734317779541016;113.4185791015625;71.77525329589844;39.55299758911133;58.743038177490234;62.461387634277344
2014-05-06;18.530128479003906;112.44734954833984;71.423583984375;38.91106414794922;58.333221435546875;62.31572723388672
2014-05-07;18.46528434753418;112.66340637207031;72.42841339111328;39.428977966308594;59.02344512939453;62.58277130126953
2014-05-08;18.432373046875;112.85356140136719;72.13412475585938;39.6551399230957;59.07380294799805;62.10328674316406
2014-05-09;18.355566024780273;113.31165313720703;72.42841339111328;39.39980697631836;59.23915481567383;62.298805236816406
2014-05-12;18.584095001220703;114.60812377929688;72.14848327636719;39.866676330566406;58.76461410522461;62.469940185546875
2014-05-13;18.613248825073242;115.34278106689453;72.50735473632812;39.84479522705078;58.678321838378906;62.549373626708984
2014-05-14;18.616687774658203;114.9451904296875;72.39970397949219;39.6551399230957;58.36197280883789;62.506591796875
2014-05-15;18.45838737487793;113.40672302246094;72.2705078125;39.03506851196289;57.90180587768555;61.58386993408203
2014-05-16;18.730804443359375;113.06098175048828;72.19156646728516;38.8891716003418;57.757999420166016;61.559410095214844
2014-05-19;18.952743530273438;113.52772521972656;72.23463439941406;39.268497467041016;57.470394134521484;61.63887023925781
2014-05-20;18.95650863647461;111.99788665771484;71.9546890258789;39.188255310058594;57.686100006103516;61.516666412353516
2014-05-21;19.006664276123047;113.1906509399414;72.59349060058594;39.480064392089844;57.87306213378906;62.34771728515625
2014-05-22;19.036762237548828;113.95124053955078;72.96932983398438;39.79372787475586;57.98808288574219;62.02384948730469
2014-05-23;19.251802444458008;114.44388580322266;72.9837646484375;39.77915954589844;57.89461898803711;61.91384506225586
2014-05-27;19.612306594848633;115.96509552001953;72.86092376708984;40.224143981933594;57.57826232910156;61.938316345214844
2014-05-28;19.5615291595459;116.10335540771484;72.4923324584961;40.450279235839844;57.59263229370117;61.754966735839844
2014-05-29;19.917953491210938;116.80347442626953;72.82479858398438;40.64723587036133;57.808345794677734;61.88330841064453
2014-05-30;19.843341827392578;116.89854431152344;73.33073425292969;40.53782653808594;58.088748931884766;61.43111038208008
2014-06-02;19.706979751586914;117.46034240722656;73.84387969970703;40.377323150634766;57.77959060668945;61.070579528808594
2014-06-03;19.985666275024414;117.44303894042969;74.05345916748047;40.5596923828125;57.470394134521484;61.345577239990234
2014-06-04;20.213882446289062;116.96769714355469;74.21245574951172;40.618064880371094;57.42008972167969;61.131675720214844
2014-06-05;20.293190002441406;118.25552368164062;74.60274505615234;41.31106948852539;57.599830627441406;61.4433479309082
2014-06-06;20.237394332885742;119.4914779663086;74.57386016845703;41.55910110473633;57.54230499267578;62.084957122802734
2014-06-09;20.561214447021484;119.24085235595703;74.60274505615234;41.887367248535156;57.58544158935547;62.03605651855469
2014-06-10;20.68191146850586;118.6271743774414;75.23876190185547;42.237525939941406;57.62858581542969;61.9994010925293
2014-06-11;20.596330642700195;115.90460205078125;74.6750259399414;41.77794647216797;57.56386947631836;62.298805236816406
2014-06-12;20.251808166503906;114.2537612915039;74.10408020019531;41.610164642333984;57.34818649291992;62.12159729003906
2014-06-13;20.030181884765625;114.3401870727539;74.10408020019531;41.610164642333984;57.26187515258789;62.72657012939453
2014-06-16;20.232059478759766;114.55623626708984;74.04622650146484;41.486148834228516;57.2978515625;62.89155960083008
2014-06-17;20.205726623535156;114.47847747802734;73.67039489746094;41.887367248535156;57.21875;62.58604049682617
2014-06-18;20.227676391601562;114.50439453125;74.3064193725586;42.149986267089844;57.36974334716797;62.77545166015625
2014-06-19;20.157455444335938;114.79826354980469;75.02916717529297;41.79983139038086;57.693302154541016;62.71435546875
2014-06-20;19.94898796081543;114.17594909667969;76.08438873291016;41.982208251953125;57.470394134521484;63.447654724121094
2014-06-23;19.93143081665039;113.09557342529297;75.70856475830078;42.449066162109375;57.17560958862305;63.783721923828125
2014-06-24;19.810741424560547;111.62621307373047;75.5929183959961;41.887367248535156;56.808921813964844;62.77545166015625
2014-06-25;19.828298568725586;109.81979370117188;76.43855285644531;41.967613220214844;57.03181076049805;62.41493606567383
2014-06-26;19.946792602539062;110.64954376220703;76.35905456542969;41.8654899597168;56.52849578857422;62.34771728515625
2014-06-27;20.183794021606445;111.0989990234375;75.88201904296875;41.967613220214844;56.81610870361328;61.846641540527344
2014-06-30;20.392255783081055;109.96672821044922;75.61459350585938;42.03327560424805;56.50693130493164;61.52277755737305
2014-07-01;20.52171516418457;110.76190185546875;76.5180435180664;42.290374755859375;57.003047943115234;61.938316345214844
2014-07-02;20.512939453125;110.3038330078125;76.51082611083984;41.84961700439453;57.204376220703125;62.06663513183594
2014-07-03;20.633628845214844;111.07305145263672;76.19281768798828;41.90839767456055;57.50634765625;62.68991470336914
2014-07-07;21.059335708618164;111.57435607910156;76.95171356201172;41.62924575805664;57.6573486328125;62.72657012939453
2014-07-08;20.92328453063965;109.58643341064453;76.40965270996094;40.960777282714844;57.92337417602539;62.83657455444336
2014-07-09;20.932065963745117;109.58643341064453;76.64092254638672;41.151771545410156;58.72146224975586;63.276554107666016
2014-07-10;20.85526466369629;109.58643341064453;76.46744537353516;40.8138542175293;58.678321838378906;62.67770004272461
2014-07-11;20.894760131835938;110.71005249023438;75.96155548095703;40.99015426635742;58.35480880737305;62.170494079589844
2014-07-14;21.164663314819336;111.94601440429688;76.16388702392578;41.350101470947266;58.469825744628906;62.744911193847656
2014-07-15;20.916709899902344;111.58300018310547;74.64608764648438;42.804588317871094;58.42667007446289;62.567726135253906
2014-07-16;20.798213958740234;110.13096618652344;73.87998962402344;43.127811431884766;58.6615104675293;63.410953521728516
2014-07-17;20.4273624420166;108.7999267578125;72.54292297363281;42.5034065246582;58.2701530456543;62.51881408691406
2014-07-18;20.721412658691406;110.32112121582031;73.5764389038086;42.77519607543945;58.37886428833008;62.77545166015625
2014-07-21;20.61388397216797;110.89154052734375;73.19335174560547;42.78254699707031;58.18318176269531;62.98935317993164
2014-07-22;20.78504753112793;112.13618469238281;74.0606918334961;43.09843826293945;58.05270767211914;63.270442962646484
2014-07-23;21.327054977416992;109.51729583740234;73.85832214355469;43.340843200683594;57.97298812866211;63.704280853271484
2014-07-24;21.291942596435547;107.520751953125;73.86553955078125;43.46571731567383;58.16868591308594;63.72262191772461
2014-07-25;21.4323787689209;106.48355865478516;73.80049896240234;43.34819412231445;57.661346435546875;63.05044174194336
2014-07-28;21.72862434387207;106.362548828125;73.80049896240234;43.48041534423828;57.44391632080078;63.777618408203125
2014-07-29;21.588180541992188;105.72296905517578;73.69207763671875;43.07638931274414;57.00181579589844;63.276554107666016
2014-07-30;21.53770637512207;105.6970443725586;73.93781280517578;43.27471923828125;56.64668655395508;63.09323501586914
