col1;col2
-1.8433798e+000;-1.1514712e+000
7.8115022e-002;-1.7783044e-001
1.7726955e+000;1.5952016e+000
2.0134531e+000;2.6930613e+000
-2.3894476e-001;3.5030437e-001
9.0801186e-001;1.0771086e+000
-6.1592305e-001;-7.2768318e-001
1.6021011e-001;-1.0737490e+000
5.4684298e-001;4.8433434e-001
-1.4239465e+000;-1.3168192e+000
3.1747335e-001;8.7644645e-002
-4.3899627e-002;-5.0076663e-002
-5.2272358e-001;2.7308302e-002
1.9046977e-001;-1.0165999e-001
3.7603568e-001;1.4266684e+000
-3.8570222e-001;2.3478765e-001
-6.9052610e-001;1.4406811e-001
1.5652843e+000;5.8319154e-001
1.8789360e-001;8.7023067e-001
5.0417474e-001;7.2187247e-001
1.1391357e+000;1.7867347e+000
-3.4776260e-001;3.3207569e-001
-5.2073478e-001;-2.5173571e-001
2.1367347e-001;-6.8918940e-002
-4.5447957e-001;-9.9131099e-001
1.3438756e+000;6.0809665e-001
-3.4638389e-001;2.4106005e-001
-8.3266294e-001;-7.7137975e-001
-6.3178073e-002;-8.9685866e-001
1.2365629e+000;1.1593580e+000
-4.3899627e-002;2.3317526e-001
5.9597205e-002;2.4043355e-001
1.1570156e-001;3.4933949e-001
-5.1469470e-001;-4.2263636e-001
-4.3899627e-002;-5.0076663e-002
5.5818533e-001;-2.8596693e-002
-4.8550548e-001;-4.3472873e-001
9.7687389e-002;1.9970217e-002
1.2482932e-001;6.2898385e-001
-4.3899627e-002;-5.0076663e-002
-9.2181080e-001;-4.9241885e-001
-1.4759787e+000;-1.3154714e+000
-3.3341652e-001;-1.2357105e-001
-1.7456971e+000;-1.9745876e+000
-5.7488136e-001;-3.9488541e-001
-1.6151046e+000;-4.8276629e-001
1.1016012e+000;1.1926934e+000
6.5694685e-002;2.1736625e-002
-7.4915908e-001;-1.8413855e+000
2.2466916e-001;3.8467614e-001
6.8897401e-001;2.1368617e+000
4.4225550e+000;1.7437056e+000
8.3878830e-001;1.3334924e+000
-7.0955788e-001;6.6620387e-001
-1.0377080e+000;-2.2668762e-001
5.6273382e-001;1.2292026e+000
8.6828658e-001;1.8642277e+000
5.7317208e-001;7.0093564e-001
-2.3058060e-001;5.8702920e-001
2.6303600e-001;9.0552434e-001
1.8342296e+000;1.9076199e+000
8.1122991e-001;1.3282831e+000
-2.5241976e-001;7.8898150e-001
1.4673103e+000;1.6378173e+000
5.3516994e-001;1.6769208e+000
1.4709034e+000;1.5656750e+000
-7.6355928e-001;-1.0177708e+000
6.6728192e-001;3.6056385e-001
2.4512934e+000;1.6073571e+000
-9.9457651e-001;-7.7101256e-002
1.1456191e+000;8.4459829e-001
-1.1471875e+000;-8.7045155e-001
1.9321106e+000;9.3535157e-001
-4.3899627e-002;-5.0076663e-002
-1.2844259e-001;3.0808752e-001
-1.1812421e+000;-1.0095414e+000
-2.9187674e-001;3.0604650e-002
-1.2969497e-001;5.2401491e-001
-9.5135166e-002;4.2545865e-001
-8.5329408e-001;-8.0219414e-001
8.0842369e-001;6.4216787e-001
-2.8440015e-001;4.4335813e-001
9.1327678e-001;7.5891454e-001
1.0033117e-001;9.0868256e-001
1.9410057e+000;2.5020326e+000
-1.8335363e-002;1.0834339e-001
-3.7742080e-001;3.5854282e-001
-3.2031746e-001;-1.8258970e-001
-5.8474777e-001;-1.7396718e+000
-6.1505875e-001;-1.2885826e+000
1.0681076e+000;1.4086725e+000
-1.4411225e-001;-1.3341267e-001
-1.7812511e-001;-3.7124857e-001
-6.5902656e-001;-5.4365932e-002
-2.1957517e+000;-7.9490294e-001
1.0314231e-001;6.5613792e-001
-6.2286240e-001;-3.7026948e-001
7.7198390e-002;-1.4698111e-001
1.9785735e-001;8.8062143e-001
1.6521294e+000;2.0786967e+000
4.9371807e-002;7.4081971e-001
-1.7148391e-001;-6.4589398e-002
-4.3899627e-002;-5.0076663e-002
-1.1717727e+000;-3.4909263e-001
2.1490262e+000;2.0774443e+000
-6.6790111e-001;7.3066241e-001
-1.2046460e-001;4.5968135e-001
-9.9627469e-001;-4.1046644e-001
7.0515724e-001;-7.8318413e-002
-1.6082067e+000;-6.9575601e-001
-7.5238283e-004;-3.9587958e-001
1.0267099e+000;1.6771169e+000
4.8337133e-001;4.1149490e-001
3.7906111e-001;-2.0569388e-001
1.7703209e+000;1.1230330e+000
5.4294907e-001;8.4379501e-001
-2.1712560e-001;-9.6960531e-001
-1.1725215e+000;-1.1276712e+000
-1.3294406e+000;-1.4181585e+000
5.7834296e-002;2.9319852e-001
5.9621466e-001;4.2653128e-001
-1.0141724e+000;-5.3676413e-001
-3.4080972e-001;-3.3069502e-001
-1.2668480e+000;-1.4548515e+000
3.3425398e-001;-6.7118390e-001
1.4109015e+000;5.9358103e-001
2.4304070e-001;6.2001103e-001
-3.5732862e-002;1.4723227e-001
5.0650163e-002;-1.7614675e-001
-8.6860153e-001;-4.3972837e-002
4.1503169e-001;1.5317131e-001
1.3203910e+000;1.0202947e+000
-1.7753036e+000;-9.3585064e-001
1.0187649e-001;5.3230177e-002
-1.3365760e+000;-1.0961624e+000
-7.9074259e-001;-2.2655634e+000
9.4996553e-001;7.1879726e-001
-2.9854285e-001;-1.3106094e-001
1.4921811e-001;-3.1633301e-001
4.3417244e-001;6.7629366e-001
1.0258226e-001;7.1005430e-001
-3.9843791e-001;4.2285362e-001
4.3288638e-001;5.7500809e-001
-4.3899627e-002;-5.0076663e-002
1.4872673e+000;8.5916746e-001
3.1842083e-001;3.2735046e-001
9.8926847e-001;7.7607746e-001
8.5392556e-001;5.2854380e-001
2.1472519e-001;1.4534192e-001
-2.8733154e-001;-2.0501073e-002
-7.9307606e-001;-4.5503549e-001
-3.9388715e-001;-4.9842784e-001
-6.5077402e-001;-9.2878184e-001
-8.8925450e-002;-5.9111319e-001
3.0904271e-001;1.0509179e-001
-8.4889397e-001;-1.1779957e+000
6.2054391e-002;-3.1750270e-002
1.1422441e+000;7.4691805e-001
-2.6210119e-001;-2.0168526e-001
-2.8333419e-001;-6.0388116e-001
-1.0973735e+000;-1.3254919e+000
-9.6696509e-002;5.7002956e-002
3.4870160e-001;-6.2426154e-002
-1.8314537e+000;-2.2540054e+000
-1.4350226e-001;-4.5702271e-001
5.5703001e-002;-9.6569616e-002
7.0576701e-001;6.1566548e-001
-1.0073187e+000;-1.1729226e-001
1.7156766e+000;1.0761014e+000
4.3897807e-001;-5.7711181e-001
-1.3311121e+000;-9.8597690e-001
-4.3899627e-002;-5.0076663e-002
-1.1957483e-001;-1.0701647e-001
9.5704860e-001;1.0951181e+000
