Date;BTC-USD;ETH-USD;BNB-USD;ADA-USD;XRP-USD;USDT-USD;SOL1-USD;DOGE-USD;USDC-USD;AVAX-USD;LUNA1-USD;LINK-USD;MATIC-USD;ALGO-USD
2020-01-24;8445.4345703125;163.05117797851562;17.047409057617188;0.04500399902462959;0.22304099798202515;1.0029699802398682;;0.00227600010111928;1.0027929544448853;;0.18623800575733185;2.504390001296997;0.0162540003657341;0.23221899569034576
2020-01-25;8367.84765625;161.283935546875;16.976106643676758;0.043248001486063004;0.220427006483078;1.0021129846572876;;0.002256999956443906;1.0020350217819214;;0.18543300032615662;2.456526041030884;0.01606599986553192;0.2349890023469925
2020-01-26;8596.830078125;168.0771026611328;17.43863296508789;0.04458099976181984;0.2306859940290451;1.0005040168762207;;0.002305000089108944;1.0121840238571167;;0.1862969994544983;2.571582078933716;0.016457000747323036;0.23778000473976135
2020-01-27;8909.8193359375;170.93089294433594;17.691341400146484;0.047912001609802246;0.231222003698349;1.0018999576568604;;0.002368000103160739;1.0191210508346558;;0.18599599599838257;2.609652042388916;0.016909999772906303;0.24041399359703064
2020-01-28;9358.58984375;176.3703155517578;18.115135192871094;0.05285700038075447;0.23848800361156464;1.0007599592208862;;0.0024500000290572643;1.0241960287094116;;0.18634900450706482;2.655339002609253;0.017255999147892;0.24427799880504608
2020-01-29;9316.6298828125;175.0503387451172;17.912776947021484;0.05351400002837181;0.23573000729084015;1.002295970916748;;0.0023900000378489494;1.02509605884552;;0.1913670003414154;2.7853240966796875;0.017109999433159828;0.24139900505542755
2020-01-30;9508.9931640625;184.6904754638672;18.590408325195312;0.0560699999332428;0.24364200234413147;1.0014519691467285;;0.0024399999529123306;1.0440289974212646;;0.1889999955892563;2.9129879474639893;0.018644999712705612;0.2421959936618805
2020-01-31;9350.529296875;180.16017150878906;18.210979461669922;0.05379299819469452;0.23923300206661224;1.000648021697998;;0.002394000068306923;1.0283739566802979;;0.18749099969863892;2.823791027069092;0.017928000539541245;0.24814599752426147
2020-02-01;9392.875;183.6739501953125;18.218320846557617;0.056092001497745514;0.24145500361919403;1.0012160539627075;;0.0024220000486820936;1.0275460481643677;;0.1892469972372055;2.8389530181884766;0.018331000581383705;0.2491990029811859
2020-02-02;9344.365234375;188.61753845214844;18.448184967041016;0.055768001824617386;0.25073400139808655;1.0005439519882202;;0.0024679999332875013;1.0282100439071655;;0.20037899911403656;2.832581043243408;0.01911499910056591;0.2534109950065613
2020-02-03;9293.521484375;189.8650665283203;18.46275520324707;0.05697900056838989;0.254626989364624;0.9989129900932312;;0.0024399999529123306;1.0264339447021484;;0.20447200536727905;2.7746589183807373;0.022086000069975853;0.2629309892654419
2020-02-04;9180.962890625;189.25059509277344;18.177366256713867;0.05599600076675415;0.26680800318717957;1.0017449855804443;;0.0025029999669641256;1.0244359970092773;;0.1976899951696396;2.7411210536956787;0.021128999069333076;0.28146401047706604
2020-02-05;9613.423828125;204.23023986816406;19.215049743652344;0.059230998158454895;0.2774679958820343;1.0028380155563354;;0.0025820001028478146;1.0318690538406372;;0.20536500215530396;2.8456289768218994;0.021432999521493912;0.27598199248313904
2020-02-06;9729.8017578125;212.33908081054688;20.59526252746582;0.05975700169801712;0.2822139859199524;0.997215986251831;;0.002652999944984913;1.0246570110321045;;0.2209710031747818;2.8846819400787354;0.024459000676870346;0.28672701120376587
2020-02-07;9795.943359375;222.72605895996094;22.062257766723633;0.059790000319480896;0.2792840003967285;0.997750997543335;;0.002768999896943569;1.0169310569763184;;0.2282949984073639;3.3085319995880127;0.022962000221014023;0.31277498602867126
2020-02-08;9865.119140625;223.14651489257812;21.782419204711914;0.05994400009512901;0.2772429883480072;0.999534010887146;;0.0031590000726282597;1.0195419788360596;;0.22927500307559967;3.414457082748413;0.02115499973297119;0.30744999647140503
2020-02-09;10116.673828125;228.5785675048828;24.308561325073242;0.0618089996278286;0.28245699405670166;1.0014729499816895;;0.0032319999299943447;1.0245779752731323;;0.2250860035419464;3.4773130416870117;0.02191999927163124;0.3411160111427307
2020-02-10;9856.611328125;223.522705078125;25.21831512451172;0.06039400026202202;0.2740800082683563;1.0006400346755981;;0.002985999919474125;1.0188560485839844;;0.2252040058374405;3.4114840030670166;0.021608000621199608;0.3598549962043762
2020-02-11;10208.236328125;235.8511962890625;25.63740348815918;0.06322800368070602;0.2801409959793091;0.9984229803085327;;0.0030410001054406166;1.014909029006958;;0.3395009934902191;3.9755589962005615;0.022797999903559685;0.3692219853401184
2020-02-12;10326.0546875;265.4061279296875;26.46676254272461;0.06837300211191177;0.3043929934501648;1.002558946609497;;0.0030930000357329845;1.0331369638442993;;0.26165199279785156;4.025118827819824;0.022897999733686447;0.38948801159858704
2020-02-13;10214.3798828125;268.0992431640625;25.440099716186523;0.0685809999704361;0.3267059922218323;0.9985790252685547;;0.003025999991223216;1.0191160440444946;;0.27567899227142334;3.8744349479675293;0.022252000868320465;0.3478110134601593
2020-02-14;10312.1162109375;284.2174987792969;26.296958923339844;0.07057999819517136;0.33482199907302856;1.0001139640808105;;0.0031300000846385956;1.0167230367660522;;0.2758530080318451;4.41437292098999;0.023249000310897827;0.3668470084667206
2020-02-15;9889.4248046875;264.72857666015625;24.14965057373047;0.06386300176382065;0.30623599886894226;0.999127984046936;;0.0029200001154094934;1.0112550258636475;;0.25733599066734314;4.304660797119141;0.0208320003002882;0.3343620002269745
2020-02-16;9934.43359375;259.89471435546875;23.466388702392578;0.06265400350093842;0.2950339913368225;0.9992719888687134;;0.002773999935016036;1.009634017944336;;0.253930002450943;4.504170894622803;0.020160000771284103;0.34185001254081726
2020-02-17;9690.142578125;266.3634338378906;23.55137825012207;0.06004200130701065;0.28657200932502747;0.9984740018844604;;0.0027119999285787344;1.0118980407714844;;0.23686599731445312;4.297008991241455;0.020055999979376793;0.3287990093231201
2020-02-18;10141.99609375;281.944580078125;24.058177947998047;0.06259699910879135;0.2979130148887634;1.0007590055465698;;0.0028389999642968178;1.0212210416793823;;0.23611600697040558;4.543797016143799;0.021525999531149864;0.3488540053367615
2020-02-19;9633.38671875;259.76397705078125;22.333511352539062;0.05764500051736832;0.2776019871234894;1.0013240575790405;;0.002623999956995249;1.0074139833450317;;0.21815399825572968;4.4013261795043945;0.020712999626994133;0.35047999024391174
2020-02-20;9608.4755859375;257.949462890625;22.22914695739746;0.0582600012421608;0.2723959982395172;1.002593994140625;;0.002658999990671873;1.009511947631836;;0.22826600074768066;4.271368980407715;0.020695999264717102;0.4372119903564453
2020-02-21;9686.44140625;265.6006164550781;22.184877395629883;0.058639999479055405;0.2749379873275757;1.0031379461288452;;0.002647999906912446;1.0112249851226807;;0.2534410059452057;4.292057991027832;0.02076300047338009;0.41988301277160645
2020-02-22;9663.181640625;262.33172607421875;21.968481063842773;0.05833600088953972;0.2759009897708893;1.0018290281295776;;0.002601000014692545;0.999921977519989;;0.26283401250839233;4.1029372215271;0.020795999094843864;0.4496830105781555
2020-02-23;9924.515625;273.754150390625;22.82887077331543;0.06151000037789345;0.282710999250412;0.9980170130729675;;0.00267999991774559;0.997281014919281;;0.26195698976516724;4.243481159210205;0.02229899913072586;0.4608190059661865
2020-02-24;9650.1748046875;265.2164306640625;22.044126510620117;0.058959998190402985;0.2706269919872284;0.9987999796867371;;0.002589999930933118;0.9995369911193848;;0.24616800248622894;3.913672924041748;0.020729999989271164;0.49331000447273254
2020-02-25;9341.705078125;247.81759643554688;20.342470169067383;0.05636399984359741;0.25341200828552246;1.0014539957046509;;0.0024759999942034483;1.0003379583358765;;0.2331250011920929;3.51310396194458;0.019128000363707542;0.3943899869918823
2020-02-26;8820.5224609375;225.68026733398438;18.799131393432617;0.0494530014693737;0.23085099458694458;1.002742052078247;;0.002339000115171075;1.0029979944229126;;0.21498900651931763;3.600724935531616;0.01838199980556965;0.36820200085639954
2020-02-27;8784.494140625;226.75338745117188;19.122568130493164;0.049685001373291016;0.2371159940958023;0.9984130263328552;;0.0023240000009536743;1.0006190538406372;;0.22500400245189667;3.9485950469970703;0.01960499957203865;0.37452399730682373
2020-02-28;8672.455078125;226.760498046875;18.85483741760254;0.04861599951982498;0.23629599809646606;0.9970890283584595;;0.00228899996727705;0.9929810166358948;;0.21864700317382812;4.161910057067871;0.020027000457048416;0.34835898876190186
2020-02-29;8599.5087890625;219.8485107421875;19.584091186523438;0.047540999948978424;0.23119300603866577;1.0063680410385132;;0.0022350000217556953;1.0045859813690186;;0.22153599560260773;4.108541011810303;0.020340999588370323;0.33407101035118103
2020-03-01;8562.4541015625;218.97059631347656;18.963232040405273;0.04593199864029884;0.2288459986448288;1.0004980564117432;;0.0022750000935047865;1.001160979270935;;0.24104200303554535;3.879533052444458;0.019450999796390533;0.319689005613327
2020-03-02;8869.669921875;230.5697784423828;19.814064025878906;0.04895300045609474;0.2387470006942749;0.9950000047683716;;0.002348999958485365;0.9942110180854797;;0.24584700167179108;4.2150068283081055;0.02123199962079525;0.3734390139579773
2020-03-03;8787.7861328125;224.47962951660156;19.637189865112305;0.048760998994112015;0.23438100516796112;1.0024969577789307;;0.002498999936506152;1.002810001373291;;0.2400979995727539;4.583631992340088;0.023476000875234604;0.370510995388031
2020-03-04;8755.24609375;224.51797485351562;19.95918846130371;0.049003999680280685;0.2345300018787384;1.000622034072876;;0.0023980000987648964;1.000452995300293;;0.2370709925889969;4.644871234893799;0.02507999911904335;0.3929480016231537
